scaffold12_1_MH0050	1036	1929	-	COG0436
scaffold17_4_MH0050	2	1504	-	COG3808
scaffold17_4_MH0050	13516	13707	+	NOG25328
scaffold17_5_MH0050	3962	5176	-	COG0520
scaffold17_13_MH0050	3	1370	-	NA
scaffold18_1_MH0050	111	431	+	NA
scaffold19_1_MH0050	3	695	+	NA
scaffold37_1_MH0050	425	895	-	NA
scaffold39_3_MH0050	1417	2247	-	COG2972
scaffold39_4_MH0050	4531	5346	+	COG1131
scaffold39_6_MH0050	2	1858	+	NA
scaffold41_2_MH0050	241	699	-	COG0629
scaffold41_5_MH0050	3	911	-	COG0136
scaffold45_1_MH0050	1	1053	+	COG0772
scaffold58_1_MH0050	1252	1449	+	NA
scaffold65_3_MH0050	3	164	+	NA
scaffold65_3_MH0050	227	526	-	NA
scaffold72_1_MH0050	3	668	-	NA
scaffold86_3_MH0050	2313	3194	-	COG1159
scaffold96_1_MH0050	3152	3949	+	COG1596
scaffold99_5_MH0050	5044	6969	-	COG0744
scaffold99_10_MH0050	984	1718	+	COG0398
scaffold103_1_MH0050	72	521	+	COG0541
scaffold103_3_MH0050	2	214	+	COG0541
scaffold103_3_MH0050	266	517	+	COG0228
scaffold112_3_MH0050	3	326	-	NA
scaffold118_1_MH0050	63	1379	-	COG0534
scaffold118_1_MH0050	1719	2216	+	NA
scaffold118_1_MH0050	2213	2440	+	NA
scaffold122_3_MH0050	449	652	-	NA
scaffold122_3_MH0050	944	1135	-	NA
scaffold124_1_MH0050	3	368	-	COG0395
scaffold124_1_MH0050	368	625	-	COG1175
scaffold124_2_MH0050	1	471	-	COG1175
scaffold124_2_MH0050	558	710	-	NA
scaffold125_2_MH0050	3	5441	+	NA
scaffold125_4_MH0050	356	796	-	NA
scaffold125_4_MH0050	943	1548	-	NOG22717
scaffold125_5_MH0050	1	291	-	COG0740
scaffold125_5_MH0050	188	1612	-	COG4695
scaffold125_5_MH0050	2380	3414	-	COG4626
scaffold125_8_MH0050	1177	2136	+	NOG30506
scaffold125_9_MH0050	800	997	+	NA
scaffold131_1_MH0050	1859	2416	+	NOG11752
scaffold152_2_MH0050	3	1136	-	COG0209
scaffold161_1_MH0050	2	163	-	NA
scaffold167_1_MH0050	3	1496	-	COG1277
scaffold184_1_MH0050	1	528	+	NA
scaffold197_1_MH0050	2	592	+	NA
scaffold197_2_MH0050	1	312	+	NA
scaffold197_2_MH0050	382	759	-	NOG19168
scaffold197_2_MH0050	756	875	-	NA
scaffold197_3_MH0050	1	699	-	COG0657
scaffold197_4_MH0050	1265	2008	-	COG0733
scaffold197_4_MH0050	2092	3246	-	COG3533
scaffold197_4_MH0050	3488	4345	+	COG1609
scaffold197_6_MH0050	1	390	-	NA
scaffold197_6_MH0050	468	1364	-	COG0524
scaffold197_6_MH0050	1430	3337	-	NA
scaffold197_6_MH0050	3352	3942	-	NA
scaffold197_8_MH0050	3	818	-	NA
scaffold197_9_MH0050	305	511	-	NA
scaffold197_10_MH0050	2	727	-	COG1609
scaffold197_10_MH0050	962	2185	+	COG0747
scaffold197_11_MH0050	1	429	+	NA
scaffold197_11_MH0050	649	1470	+	COG0601
scaffold197_11_MH0050	1489	2382	+	COG1173
scaffold197_11_MH0050	2393	3379	+	COG0444
scaffold197_11_MH0050	3376	3798	+	COG4608
scaffold205_1_MH0050	1	573	+	COG1183
scaffold205_1_MH0050	590	898	+	NA
scaffold205_1_MH0050	1557	2279	-	NA
scaffold205_2_MH0050	1	531	-	COG0165
scaffold205_2_MH0050	643	1056	-	NOG14464
scaffold205_2_MH0050	1168	1803	-	COG0461
scaffold205_2_MH0050	1900	2571	-	COG1040
scaffold205_2_MH0050	3073	3915	-	COG2890
scaffold205_3_MH0050	1	123	+	NA
scaffold205_3_MH0050	357	1130	-	NA
scaffold205_3_MH0050	1200	1433	-	NA
scaffold205_3_MH0050	1373	1777	-	NA
scaffold205_3_MH0050	1814	2023	-	NA
scaffold205_4_MH0050	2	940	-	NA
scaffold205_4_MH0050	992	1714	-	COG1011
scaffold205_4_MH0050	2010	3359	-	COG1252
